joe       26239  72019  0 09:27 pts/4    00:00:00 grep --color=auto scsi
root        155      2  0 Jun19 ?        00:00:00 [scsi_eh_2]
root        156      2  0 Jun19 ?        00:00:00 [scsi_tmf_2]
root        157      2  0 Jun19 ?        00:00:00 [scsi_eh_3]
root        158      2  0 Jun19 ?        00:00:00 [scsi_tmf_3]
root        159      2  0 Jun19 ?        00:00:00 [scsi_eh_4]
root        160      2  0 Jun19 ?        00:00:00 [scsi_tmf_4]
root        161      2  0 Jun19 ?        00:00:00 [scsi_eh_5]
root        162      2  0 Jun19 ?        00:00:00 [scsi_tmf_5]
root        163      2  0 Jun19 ?        00:00:00 [scsi_eh_6]
root        164      2  0 Jun19 ?        00:00:00 [scsi_tmf_6]
root        165      2  0 Jun19 ?        00:00:00 [scsi_eh_7]
root        166      2  0 Jun19 ?        00:00:00 [scsi_tmf_7]
root        167      2  0 Jun19 ?        00:00:00 [scsi_eh_8]
root        168      2  0 Jun19 ?        00:00:00 [scsi_tmf_8]
root        169      2  0 Jun19 ?        00:00:00 [scsi_eh_9]
root        170      2  0 Jun19 ?        00:00:00 [scsi_tmf_9]
root        171      2  0 Jun19 ?        00:00:00 [scsi_eh_10]
root        172      2  0 Jun19 ?        00:00:00 [scsi_tmf_10]
root        173      2  0 Jun19 ?        00:00:00 [scsi_eh_11]
root        174      2  0 Jun19 ?        00:00:00 [scsi_tmf_11]
root        175      2  0 Jun19 ?        00:00:00 [scsi_eh_12]
root        176      2  0 Jun19 ?        00:00:00 [scsi_tmf_12]
root        177      2  0 Jun19 ?        00:00:00 [scsi_eh_13]
root        178      2  0 Jun19 ?        00:00:00 [scsi_tmf_13]
root        179      2  0 Jun19 ?        00:00:00 [scsi_eh_14]
root        180      2  0 Jun19 ?        00:00:00 [scsi_tmf_14]
root        181      2  0 Jun19 ?        00:00:00 [scsi_eh_15]
root        182      2  0 Jun19 ?        00:00:00 [scsi_tmf_15]
root        183      2  0 Jun19 ?        00:00:00 [scsi_eh_16]
root        184      2  0 Jun19 ?        00:00:00 [scsi_tmf_16]
root        185      2  0 Jun19 ?        00:00:00 [scsi_eh_17]
root        186      2  0 Jun19 ?        00:00:00 [scsi_tmf_17]
root        187      2  0 Jun19 ?        00:00:00 [scsi_eh_18]
root        188      2  0 Jun19 ?        00:00:00 [scsi_tmf_18]
root        189      2  0 Jun19 ?        00:00:00 [scsi_eh_19]
root        190      2  0 Jun19 ?        00:00:00 [scsi_tmf_19]
root        191      2  0 Jun19 ?        00:00:00 [scsi_eh_20]
root        192      2  0 Jun19 ?        00:00:00 [scsi_tmf_20]
root        193      2  0 Jun19 ?        00:00:00 [scsi_eh_21]
root        194      2  0 Jun19 ?        00:00:00 [scsi_tmf_21]
root        195      2  0 Jun19 ?        00:00:00 [scsi_eh_22]
root        196      2  0 Jun19 ?        00:00:00 [scsi_tmf_22]
root        197      2  0 Jun19 ?        00:00:00 [scsi_eh_23]
root        198      2  0 Jun19 ?        00:00:00 [scsi_tmf_23]
root        199      2  0 Jun19 ?        00:00:00 [scsi_eh_24]
root        202      2  0 Jun19 ?        00:00:00 [scsi_tmf_24]
root        203      2  0 Jun19 ?        00:00:00 [scsi_eh_25]
root        204      2  0 Jun19 ?        00:00:00 [scsi_tmf_25]
root        205      2  0 Jun19 ?        00:00:00 [scsi_eh_26]
root        206      2  0 Jun19 ?        00:00:00 [scsi_tmf_26]
root        207      2  0 Jun19 ?        00:00:00 [scsi_eh_27]
root        208      2  0 Jun19 ?        00:00:00 [scsi_tmf_27]
root        209      2  0 Jun19 ?        00:00:00 [scsi_eh_28]
root        210      2  0 Jun19 ?        00:00:00 [scsi_tmf_28]
root        211      2  0 Jun19 ?        00:00:00 [scsi_eh_29]
root        212      2  0 Jun19 ?        00:00:00 [scsi_tmf_29]
root        213      2  0 Jun19 ?        00:00:00 [scsi_eh_30]
root        214      2  0 Jun19 ?        00:00:00 [scsi_tmf_30]
root        215      2  0 Jun19 ?        00:00:00 [scsi_eh_31]
root        216      2  0 Jun19 ?        00:00:00 [scsi_tmf_31]
root        217      2  0 Jun19 ?        00:00:00 [scsi_eh_32]
root        218      2  0 Jun19 ?        00:00:00 [scsi_tmf_32]
root         75      2  0 Jun19 ?        00:00:00 [scsi_eh_0]
root         76      2  0 Jun19 ?        00:00:00 [scsi_tmf_0]
root         77      2  0 Jun19 ?        00:00:00 [scsi_eh_1]
root         78      2  0 Jun19 ?        00:00:00 [scsi_tmf_1]
